horizon_years,estimate,cluster_se,p_value_normal_approx,ci95_low,ci95_high,ci90_low_for_equivalence,ci90_high_for_equivalence,mde_80pct_power_5pct_two_sided_rule_of_thumb,ci95_half_width,ci90_half_width,smallest_checked_delta_with_equivalence,checked_equivalence_deltas,n,clusters_total,treated_rows,control_rows,treated_clusters,control_clusters,winsor_lower_p01,winsor_upper_p99,inference_note
1,0.0093684377,0.0348082971,0.7878190177,-0.0588558246,0.0775927001,-0.0478861160,0.0666229914,0.0974632319,0.0682242623,0.0572545537,0.10,0.05;0.10;0.15;0.25;0.50,3718,516,138,3580,44,509,-0.8479286600,1.1130019511,more_informative_null
3,0.0404468895,0.1192755012,0.7345308169,-0.1933330928,0.2742268719,-0.1557438513,0.2366376303,0.3339714034,0.2337799824,0.1961907408,0.25,0.05;0.10;0.15;0.25;0.50,2698,450,93,2605,24,443,-1.2502939409,2.4207979388,wide_interval_lower_power_long_horizon
5,0.1911030375,0.3734258454,0.6088215621,-0.5408116195,0.9230176946,-0.4231278187,0.8053338937,1.0455923671,0.7319146570,0.6142308562,,0.05;0.10;0.15;0.25;0.50,1822,400,63,1759,19,391,-1.7230815285,4.2679141550,wide_interval_lower_power_long_horizon
